song,duration_min
TELEFONO NUEVO,5.91
TELEKINESIS,5.900000000000001
TELEKINESIS (feat. SZA & Future),5.9
TEXAS HOLD 'EM,3.9156250000000004
TGIF,2.74
THANK GOD,3.08
THE DINER,3.11
THE GREATEST,4.9
THUNDER Y LIGHTNING,3.62
TIL FURTHER NOTICE,5.25
TIL FURTHER NOTICE (feat. James Blake & 21 Savage),5.25
TOO FAST,3.43
TOO MUCH,3.4
TOPIA TWINS,3.72
TOPIA TWINS (feat. Rob49 & 21 Savage),3.7200000000000006
TQG,3.3
TQM,2.65
TULUM,3.49
TV,4.69
TYRANT,4.18
"Take Me Home, Country Roads",3.3
Take Two,3.83
Take Your Mask Off (feat. Daniel Caesar & LaToiya Williams),4.23
Talk talk featuring troye sivan,2.88
Talking / Once Again,3.09
Taste,2.62
Tell Ur Girlfriend,2.07
Temporary,4.96
That Fiya,2.58
That’s So True,2.77
The Addams Family,1.41
The Albatross,3.06
The Alchemy,3.28
The Black Dog,3.98
The Bolter,3.97
The Christmas Song (Merry Christmas To You),3.193529411764706
The Emptiness Machine,3.17
The End (feat. BABYMETAL),3.12
The Great American Bar Scene,3.61
The Kind of Love We Make,3.7399999999999998
The Man He Sees in Me,2.75
The Manuscript,3.75
The Prophecy,4.16
The Rush (feat. Big Time Rush),3.11
The Shoe Fits,6.23
The Smallest Man Who Ever Lived,4.09
The Story Of Us (Taylor's Version),4.46
The Thin Grey Line,1.7600000000000002
The Tortured Poets Department,4.88
The Way Back,3.09
"The girl, so confusing version with lorde",3.43
Thick Of It (feat. Trippie Redd),2.68
Think U The Shit (Fart),2.36
Thinkin Bout You,3.35
Thinkin’ Bout Me,2.96
This Christmas,3.85
This Is Halloween,3.28
This Love (Taylor’s Version),4.17
This World's A Giant,3.6
Thought I Was Dead (feat. ScHoolboy Q & Santigold),3.45
Thriller,5.96
Thriller - 2003 Edit,5.19
Ticking,4.04
Timeless (Taylor’s Version) (From The Vault),5.36
Timeless (with Playboi Carti),4.27
Tobey (feat. Big Sean and BabyTron),4.75
Tomorrow,3.04
Too Cool To Die,3.42
Too Sweet,4.19
Total Eclipse of the Heart,4.46
Tough,3.15
Tourniquet,3.1499999999999995
Tradesman,3.13
Trae The Truth in Ibiza,4.26
Training Season,3.49
Trance (with Travis Scott & Young Thug),3.25
Tried Our Best,3.5
Trouble,0.69
Try That In A Small Town,3.0
Tu Boda,3.76
Turks & Caicos (feat. 21 Savage),3.39
Two Faced,3.06
Type Shit,3.8
Tú Con Él,4.82
UN PREVIEW,2.76
UNA NOCHE EN MEDELLÍN - REMIX,3.42
Una Velita,4.0
Uncle M,2.33
Underneath the Tree,3.83
Used To Be Young,3.19
VOU 787,2.06
VUELVE CANDY B,4.44
VULTURES,4.62
VVS,2.71
Virginia Beach,4.18
Vultures,4.29
WHATCHU KNO ABOUT ME (feat. Sexyy Red),2.49
WHERE SHE GOES,3.86
WHISKEY WHISKEY (feat. Morgan Wallen),2.68
WILDFLOWER,4.36
WTFYM,4.88
Wagon Wheel,4.97
Wanna Be (with Megan Thee Stallion),2.61
Want Me Dead (feat. 21 Savage),3.25
War Bout It (feat. 21 Savage),2.67
Wasted On You,2.98
Watch This - ARIZONATEARS Pluggnb Remix,2.72
Water,3.3400000000000003
We Don't Trust You,3.77
We Found Love,3.59
We Good,2.08
We Still Don't Trust You,4.22
Welcome To New York (Taylor's Version),3.54
Werewolf (feat. Bring Me The Horizon),4.0
What Don't Belong To Me,3.45
What Is This Feeling?,3.82
"What Was I Made For? [From The Motion Picture ""Barbie""]",3.7100000000000004
What Would Pluto Do,3.05
Whatever She Wants,2.69
Whatever She Wants [BONUS],2.69
When Emma Falls in Love (Taylor’s Version) (From The Vault),4.21
When It Rains It Pours,4.01
Where the Wild Things Are,3.9900000000000007
Whiskey Glasses,3.9099999999999997
White Christmas - 1947 Version,2.96
White Horse,4.46
Who,2.85
Who Told You (feat. Drake),3.48
Who’s Afraid of Little Old Me?,5.57
Wick Man,3.02
Wild Ones (feat. Jelly Roll),2.36
Wildest Dreams (Taylor's Version),3.67
Wildflower and Barley (feat. Allison Russell),3.7
Wind Up Missin’ You,2.7715384615384617
Winter Wonderland - Remastered,2.37
Winter Wonderland - Spotify Singles Holiday,2.21
"Wit Da Racks (feat. 21 Savage, Travis Scott & Yak Gotti)",3.77
Wonderful Christmastime - Edited Version / Remastered 2011,3.79
Wonderland (Taylor's Version),4.09
World Tour (Aquafina),2.6
Wrong Ones (Feat. Tim McGraw),3.2600000000000002
YA YA,4.58
Yeah Glo!,2.38
Yeah! (feat. Lil Jon & Ludacris),4.17
You Are In Love (Taylor's Version),4.46
You Broke My Heart,3.85
You Proof,2.62
You Should Probably Leave,3.56
Young Metro,3.42
